GROUP_SET,GROUP_VALUE_x,MAX_GAME_DATE,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,Season,GROUP_VALUE_y,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,PTS_RANK,FG_PCT_RANK
By Year,2018-19,2019-01-25T00:00:00,36,14,22,0.389,86,161,0.534,15,43,0.349,39,58,0.672,17,98,115,26,23,20,9,12,35,48,226,2018-19,2018-19,14.5,104.3,103.2,1.1,0.077,1.13,11.0,0.581,0.606,0.17,100.95,0.118,1098,2.4,4.5,,
By Year,2017-18,2018-03-16T00:00:00,53,40,13,0.755,120,207,0.58,10,22,0.455,50,69,0.725,30,170,200,51,37,18,19,13,71,59,300,2017-18,2017-18,14.0,106.5,103.4,3.2,0.099,1.38,15.7,0.604,0.632,0.157,102.01,0.119,1577,2.3,3.9,,
By Year,2016-17,2017-04-12T00:00:00,36,12,24,0.333,77,164,0.47,15,43,0.349,17,29,0.586,27,85,112,37,29,23,3,12,50,36,186,2016-17,2016-17,17.8,106.0,112.8,-6.8,0.087,1.28,15.2,0.515,0.526,0.138,97.02,0.069,1292,2.1,4.6,,
By Year,2016-17,2017-04-12T00:00:00,36,12,24,0.333,77,164,0.47,15,43,0.349,17,29,0.586,27,85,112,37,29,23,3,12,50,36,186,2016-17,2016-17,17.1,107.8,124.6,-16.8,0.071,1.1,17.5,0.526,0.542,0.099,97.94,0.034,449,1.5,2.9,,
By Year,2016-17,2017-04-12T00:00:00,36,12,24,0.333,77,164,0.47,15,43,0.349,17,29,0.586,27,85,112,37,29,23,3,12,50,36,186,2016-17,2016-17,23.7,109.6,123.2,-13.6,0.0,0.0,0.0,0.667,0.667,0.19,109.28,0.039,52,5.0,9.0,,
By Year,2016-17,2017-04-12T00:00:00,36,12,24,0.333,77,164,0.47,15,43,0.349,17,29,0.586,27,85,112,37,29,23,3,12,50,36,186,2016-17,2016-17,18.0,104.7,105.3,-0.6,0.102,1.53,15.4,0.5,0.511,0.158,95.78,0.094,791,2.4,5.3,,
By Year,2016-17,2017-04-12T00:00:00,13,3,10,0.231,19,38,0.5,2,10,0.2,5,8,0.625,6,14,20,11,10,13,2,3,24,7,45,2016-17,2016-17,17.8,106.0,112.8,-6.8,0.087,1.28,15.2,0.515,0.526,0.138,97.02,0.069,1292,2.1,4.6,,
By Year,2016-17,2017-04-12T00:00:00,13,3,10,0.231,19,38,0.5,2,10,0.2,5,8,0.625,6,14,20,11,10,13,2,3,24,7,45,2016-17,2016-17,17.1,107.8,124.6,-16.8,0.071,1.1,17.5,0.526,0.542,0.099,97.94,0.034,449,1.5,2.9,,
By Year,2016-17,2017-04-12T00:00:00,13,3,10,0.231,19,38,0.5,2,10,0.2,5,8,0.625,6,14,20,11,10,13,2,3,24,7,45,2016-17,2016-17,23.7,109.6,123.2,-13.6,0.0,0.0,0.0,0.667,0.667,0.19,109.28,0.039,52,5.0,9.0,,
By Year,2016-17,2017-04-12T00:00:00,13,3,10,0.231,19,38,0.5,2,10,0.2,5,8,0.625,6,14,20,11,10,13,2,3,24,7,45,2016-17,2016-17,18.0,104.7,105.3,-0.6,0.102,1.53,15.4,0.5,0.511,0.158,95.78,0.094,791,2.4,5.3,,
By Year,2016-17,2017-02-23T00:00:00,1,0,1,0.0,5,9,0.556,2,4,0.5,0,0,0.0,1,1,2,0,2,0,0,1,3,1,12,2016-17,2016-17,17.8,106.0,112.8,-6.8,0.087,1.28,15.2,0.515,0.526,0.138,97.02,0.069,1292,2.1,4.6,,
By Year,2016-17,2017-02-23T00:00:00,1,0,1,0.0,5,9,0.556,2,4,0.5,0,0,0.0,1,1,2,0,2,0,0,1,3,1,12,2016-17,2016-17,17.1,107.8,124.6,-16.8,0.071,1.1,17.5,0.526,0.542,0.099,97.94,0.034,449,1.5,2.9,,
By Year,2016-17,2017-02-23T00:00:00,1,0,1,0.0,5,9,0.556,2,4,0.5,0,0,0.0,1,1,2,0,2,0,0,1,3,1,12,2016-17,2016-17,23.7,109.6,123.2,-13.6,0.0,0.0,0.0,0.667,0.667,0.19,109.28,0.039,52,5.0,9.0,,
By Year,2016-17,2017-02-23T00:00:00,1,0,1,0.0,5,9,0.556,2,4,0.5,0,0,0.0,1,1,2,0,2,0,0,1,3,1,12,2016-17,2016-17,18.0,104.7,105.3,-0.6,0.102,1.53,15.4,0.5,0.511,0.158,95.78,0.094,791,2.4,5.3,,
By Year,2016-17,2017-01-13T00:00:00,22,9,13,0.409,53,117,0.453,11,29,0.379,12,21,0.571,20,70,90,26,17,10,1,8,23,28,129,2016-17,2016-17,17.8,106.0,112.8,-6.8,0.087,1.28,15.2,0.515,0.526,0.138,97.02,0.069,1292,2.1,4.6,,
By Year,2016-17,2017-01-13T00:00:00,22,9,13,0.409,53,117,0.453,11,29,0.379,12,21,0.571,20,70,90,26,17,10,1,8,23,28,129,2016-17,2016-17,17.1,107.8,124.6,-16.8,0.071,1.1,17.5,0.526,0.542,0.099,97.94,0.034,449,1.5,2.9,,
By Year,2016-17,2017-01-13T00:00:00,22,9,13,0.409,53,117,0.453,11,29,0.379,12,21,0.571,20,70,90,26,17,10,1,8,23,28,129,2016-17,2016-17,23.7,109.6,123.2,-13.6,0.0,0.0,0.0,0.667,0.667,0.19,109.28,0.039,52,5.0,9.0,,
By Year,2016-17,2017-01-13T00:00:00,22,9,13,0.409,53,117,0.453,11,29,0.379,12,21,0.571,20,70,90,26,17,10,1,8,23,28,129,2016-17,2016-17,18.0,104.7,105.3,-0.6,0.102,1.53,15.4,0.5,0.511,0.158,95.78,0.094,791,2.4,5.3,,
By Year,2015-16,2016-04-01T00:00:00,69,27,42,0.391,299,622,0.481,112,274,0.409,103,159,0.648,58,352,410,95,94,56,17,29,154,136,813,2015-16,2015-16,27.3,105.6,104.6,1.0,0.074,1.01,10.8,0.571,0.587,0.174,102.22,0.102,3990,4.3,9.0,,
By Year,2014-15,2015-04-13T00:00:00,67,23,44,0.343,209,427,0.489,35,87,0.402,140,191,0.733,54,206,260,102,88,31,9,34,107,139,593,2014-15,2014-15,21.1,102.3,108.2,-6.0,0.121,1.16,14.6,0.53,0.58,0.182,98.06,0.101,2888,3.1,6.4,,
By Year,2013-14,2014-04-16T00:00:00,71,46,25,0.648,173,410,0.422,61,176,0.347,83,122,0.68,55,205,260,88,72,44,14,23,100,97,490,2013-14,2013-14,18.1,106.3,100.9,5.3,0.105,1.22,14.0,0.496,0.528,0.177,100.43,0.095,2686,2.4,5.8,,
By Year,2012-13,2013-04-17T00:00:00,43,10,33,0.233,63,160,0.394,25,76,0.329,22,41,0.537,20,94,114,28,22,25,12,11,45,36,173,2023-24,2012-13,11.7,95.4,98.7,-3.2,0.093,1.27,12.2,0.472,0.486,0.177,93.1,0.1,967,1.5,3.7,261.0,186.0
By Year,2011-12,2012-04-25T00:00:00,65,21,44,0.323,166,412,0.403,53,168,0.315,74,108,0.685,63,165,228,66,64,37,21,33,115,96,459,2022-23,2011-12,20.6,96.1,107.3,-11.1,0.084,1.03,11.1,0.467,0.499,0.174,93.5,0.071,2608,2.6,6.3,240.0,167.0
By Year,2010-11,2011-04-13T00:00:00,71,17,54,0.239,225,546,0.412,92,247,0.372,68,101,0.673,74,233,307,74,68,54,13,20,115,93,610,2021-22,2010-11,24.0,103.9,108.5,-4.6,0.063,1.09,10.1,0.496,0.517,0.163,98.19,0.082,3493,3.2,7.7,153.0,107.0
By Year,2009-10,2010-04-13T00:00:00,77,24,53,0.312,300,672,0.446,75,203,0.369,117,174,0.672,75,274,349,95,98,54,17,31,125,156,792,2020-21,2009-10,25.1,102.9,106.2,-3.2,0.076,0.97,10.1,0.502,0.529,0.188,97.67,0.094,3936,3.9,8.7,128.0,144.0
