GAME_NUMBER,SEASON,STL,BLK,offensiveRating,defensiveRating,effectiveFieldGoalPercentage,trueShootingPercentage,pace
1,2020-21,0,0,0,0,0,0,0
2,2020-21,0,0,0,0,0,0,0
3,2020-21,0,0,0,0,0,0,0
4,2020-21,0,0,0,0,0,0,0
5,2020-21,0,0,0,0,0,0,0
6,2020-21,0,0,0,0,0,0,0
7,2020-21,0,0,0,0,0,0,0
8,2020-21,0,0,0,0,0,0,0
9,2020-21,0,0,0,0,0,0,0
10,2020-21,0,0,0,0,0,0,0
11,2020-21,0,0,0,0,0,0,0
12,2020-21,0,0,0,0,0,0,0
13,2020-21,0,0,0,0,0,0,0
14,2020-21,0,0,0,0,0,0,0
15,2020-21,1,0,97.2,72.2,0.4,0.51,124.87
16,2020-21,0,0,103.4,93.2,0.273,0.262,107.24
17,2020-21,2,1,129.6,92.6,1.5,1.5,109.99
18,2020-21,1,1,95.5,90.9,0,0,104.73
19,2020-21,1,1,107.1,112.5,0.786,0.786,109.52
20,2020-21,0,1,100,116.7,0,0,114.5
21,2020-21,0,0,94.3,121.4,0.5,0.58,107.41
22,2020-21,2,0,95.9,120,0,0.129,111.06
23,2020-21,0,0,134.4,105,0.8,0.8,98.39
24,2020-21,0,1,106,95.3,0.5,0.551,102.3
25,2020-21,0,0,92.3,116.7,0.364,0.393,95.12
26,2020-21,1,0,71.2,116.9,0.45,0.451,101.75
27,2020-21,0,1,102.9,104.3,0.15,0.15,103.01
28,2020-21,0,0,102.6,88.5,0.833,0.872,118.79
29,2020-21,2,0,100,96.6,0.417,0.417,103.69
30,2020-21,0,1,83.3,84,0,0,107.73
31,2020-21,0,0,122.2,136.4,0.857,0.841,98.06
32,2020-21,0,0,55.6,140,0,0,82.03
33,2020-21,0,0,118.4,112,0,0.258,116.51
34,2020-21,0,1,83.7,90.5,0.6,0.6,115.02
35,2020-21,0,0,117.8,109.9,0.611,0.611,110.36
36,2020-21,1,1,108.3,120,0.45,0.45,115.94
37,2020-21,0,0,113.1,121,0.333,0.333,104.43
38,2020-21,1,0,119.3,115.8,0.813,0.813,112.98
39,2020-21,1,1,110.2,136.7,1,1,94.52
40,2020-21,0,0,114.3,100,0.714,0.714,106.53
41,2020-21,1,0,150,138.9,0,0,120.59
42,2020-21,0,1,120,84.3,0.167,0.167,116.45
43,2020-21,0,0,122.5,127.5,1,1,98.38
44,2020-21,0,0,76.9,126.9,0,0,108.36
45,2020-21,1,0,98,108,0.8,0.8,107.55
46,2020-21,0,0,83.3,96,1,1,105.95
47,2020-21,1,0,137,102.1,0.5,0.5,109.16
48,2020-21,0,0,134.8,119.1,0.625,0.625,113.55
49,2020-21,0,0,83.6,85.5,0.278,0.372,105.49
50,2020-21,0,0,89.4,93.8,0.389,0.405,106.05
51,2020-21,0,0,100,116.7,0.571,0.571,107.1
52,2020-21,3,0,105,76.2,0.222,0.202,103.71
53,2020-21,0,0,85.7,157.6,0.4,0.4,105.86
54,2020-21,1,1,91.9,125,0.4,0.4,108.82
55,2020-21,1,0,101.5,111.9,0.722,0.722,96.24
56,2020-21,0,0,140,131.1,1,1.009,93.64
57,2020-21,0,0,112.1,131.4,0.25,0.25,104.06
58,2020-21,0,0,0,0,0,0,0
59,2020-21,0,0,0,0,0,0,0
60,2020-21,0,0,0,0,0,0,0
61,2020-21,0,0,0,0,0,0,0
62,2020-21,0,0,129.7,115.4,0.5,0.5,92.14
63,2020-21,2,0,110.7,117.6,0.633,0.648,113.05
64,2020-21,0,0,66.7,134.4,0,0,108.21
