GROUP_SET,GROUP_VALUE_x,MAX_GAME_DATE,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,Season,GROUP_VALUE_y,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,PTS_RANK,FG_PCT_RANK
By Year,2023-24,2024-04-14T00:00:00,71,41,30,0.577,685,1269,0.54,149,363,0.41,303,404,0.75,61,457,518,589,245,89,38,59,78,308,1822,2023-24,2023-24,35.3,117.4,113.6,3.8,0.358,2.4,26.0,0.599,0.63,0.285,101.54,0.169,5304,9.6,17.9,31.0,60.0
By Year,2022-23,2023-04-09T00:00:00,55,30,25,0.545,609,1219,0.5,121,377,0.321,251,327,0.768,65,392,457,375,178,50,32,47,88,273,1590,2022-23,2022-23,35.5,115.6,111.0,4.6,0.308,2.11,19.8,0.549,0.583,0.322,103.11,0.172,4207,11.1,22.2,58.0,160.0
By Year,2021-22,2022-04-01T00:00:00,56,25,31,0.446,640,1221,0.524,161,448,0.359,254,336,0.756,63,396,459,349,196,73,59,46,121,306,1695,2021-22,2021-22,37.2,110.9,113.5,-2.5,0.297,1.78,18.4,0.59,0.619,0.317,100.92,0.18,4380,11.4,21.8,49.0,193.0
By Year,2020-21,2021-05-16T00:00:00,45,30,15,0.667,422,823,0.513,104,285,0.365,178,255,0.698,29,317,346,350,168,48,25,27,70,206,1126,2020-21,2020-21,33.4,112.4,103.2,9.2,0.394,2.08,24.3,0.576,0.602,0.31,100.41,0.191,3145,9.4,18.3,53.0,125.0
By Year,2019-20,2020-08-13T00:00:00,67,50,17,0.746,643,1303,0.493,148,425,0.348,264,381,0.693,66,459,525,684,261,78,36,59,118,339,1698,2019-20,2019-20,34.6,112.1,103.6,8.5,0.477,2.62,28.5,0.55,0.577,0.308,101.5,0.198,4910,9.6,19.4,,
By Year,2018-19,2019-03-29T00:00:00,55,28,27,0.509,558,1095,0.51,111,327,0.339,278,418,0.665,57,408,465,454,197,72,33,52,94,320,1505,2018-19,2018-19,35.2,109.6,107.6,2.0,0.376,2.3,23.6,0.56,0.588,0.311,104.12,0.188,4218,10.1,19.9,,
By Year,2017-18,2018-04-11T00:00:00,82,50,32,0.61,857,1580,0.542,149,406,0.367,388,531,0.731,97,612,709,747,347,116,71,68,136,439,2251,2017-18,2017-18,36.9,113.7,112.1,1.6,0.432,2.15,25.8,0.59,0.621,0.31,99.12,0.191,6250,10.5,19.3,,
By Year,2016-17,2017-04-09T00:00:00,74,51,23,0.689,736,1344,0.548,124,342,0.363,358,531,0.674,97,542,639,646,303,92,44,60,134,440,1954,2016-17,2016-17,37.8,116.7,108.5,8.3,0.388,2.13,25.7,0.594,0.619,0.292,97.0,0.183,5655,9.9,18.2,,
By Year,2015-16,2016-04-11T00:00:00,76,56,20,0.737,737,1416,0.52,87,282,0.309,359,491,0.731,111,454,565,514,249,104,49,69,143,413,1920,2015-16,2015-16,35.6,114.0,102.6,11.4,0.339,2.06,21.6,0.551,0.588,0.305,94.61,0.189,5344,9.7,18.6,,
By Year,2014-15,2015-04-13T00:00:00,69,50,19,0.725,624,1279,0.488,120,339,0.354,375,528,0.71,51,365,416,511,272,109,49,48,135,412,1743,2014-15,2014-15,36.1,113.8,102.8,10.9,0.366,1.88,22.4,0.535,0.577,0.318,94.06,0.171,4889,9.0,18.5,,
